Date,Clicks,Impressions,CTR,Position
2025-06-20,10,687,1.46%,25.3
2025-06-21,1,569,0.18%,26.4
2025-06-22,8,642,1.25%,24.4
2025-06-23,3,653,0.46%,25.3
2025-06-24,7,674,1.04%,26.1
2025-06-25,6,708,0.85%,25.1
2025-06-26,5,741,0.67%,26.7
2025-06-27,5,621,0.81%,23
2025-06-28,0,582,0%,26.7
2025-06-29,2,606,0.33%,25.4
2025-06-30,6,651,0.92%,26.4
2025-07-01,2,672,0.3%,24.8
2025-07-02,6,692,0.87%,26.6
2025-07-03,5,693,0.72%,24.7
2025-07-04,3,675,0.44%,26.4
2025-07-05,8,642,1.25%,27.9
2025-07-06,6,649,0.92%,27.9
2025-07-07,5,662,0.76%,25.9
2025-07-08,10,764,1.31%,25.2
2025-07-09,3,658,0.46%,25.8
2025-07-10,4,715,0.56%,28.3
2025-07-11,2,615,0.33%,27.8
2025-07-12,3,738,0.41%,30.2
2025-07-13,6,695,0.86%,29.3
2025-07-14,1,778,0.13%,29.8
2025-07-15,6,822,0.73%,28.5
2025-07-16,9,746,1.21%,25.4
2025-07-17,9,800,1.12%,27.8
2025-07-18,3,711,0.42%,26.4
2025-07-19,1,654,0.15%,27.2
2025-07-20,8,710,1.13%,27.9
2025-07-21,3,744,0.4%,27.3
2025-07-22,7,781,0.9%,32.2
2025-07-23,4,728,0.55%,32
2025-07-24,6,737,0.81%,25
2025-07-25,2,757,0.26%,26.9
2025-07-26,6,832,0.72%,33.4
2025-07-27,7,911,0.77%,36
2025-07-28,6,820,0.73%,29.2
2025-07-29,4,679,0.59%,29
2025-07-30,8,759,1.05%,29.5
2025-07-31,7,773,0.91%,29.3
2025-08-01,4,731,0.55%,31.3
2025-08-02,7,654,1.07%,28
2025-08-03,7,897,0.78%,32.6
2025-08-04,10,723,1.38%,30.6
2025-08-05,7,705,0.99%,27.5
2025-08-06,3,716,0.42%,27
2025-08-07,9,763,1.18%,29.5
2025-08-08,5,659,0.76%,26.2
2025-08-09,6,733,0.82%,29.4
2025-08-10,5,745,0.67%,28.6
2025-08-11,2,689,0.29%,24.4
2025-08-12,5,641,0.78%,25.9
2025-08-13,6,670,0.9%,26.7
2025-08-14,11,758,1.45%,28.3
2025-08-15,3,685,0.44%,26
2025-08-16,3,579,0.52%,30.1
2025-08-17,7,614,1.14%,26.4
2025-08-18,11,613,1.79%,29.1
2025-08-19,6,591,1.02%,23
2025-08-20,6,730,0.82%,30.9
2025-08-21,6,686,0.87%,28.4
2025-08-22,4,731,0.55%,27.6
2025-08-23,6,630,0.95%,30
2025-08-24,2,575,0.35%,28.3
2025-08-25,2,771,0.26%,26
2025-08-26,8,841,0.95%,31.6
2025-08-27,0,712,0%,26.5
2025-08-28,9,663,1.36%,29.3
2025-08-29,5,749,0.67%,28.1
2025-08-30,5,745,0.67%,32.1
2025-08-31,5,892,0.56%,34.9
2025-09-01,7,874,0.8%,35
2025-09-02,8,700,1.14%,24.4
2025-09-03,2,707,0.28%,26.3
2025-09-04,8,730,1.1%,29.6
2025-09-05,4,723,0.55%,26.3
2025-09-06,1,663,0.15%,27.4
2025-09-07,5,603,0.83%,25
2025-09-08,6,663,0.9%,21.5
2025-09-09,7,593,1.18%,22.3
2025-09-10,6,624,0.96%,21.2
2025-09-11,5,530,0.94%,21.2
2025-09-12,4,418,0.96%,14.8
2025-09-13,2,313,0.64%,8.7
2025-09-14,7,366,1.91%,8.6
2025-09-15,2,396,0.51%,10.1
2025-09-16,5,438,1.14%,8.1
2025-09-17,5,433,1.15%,8.2
2025-09-18,7,470,1.49%,13.9
2025-09-19,3,475,0.63%,18.5
2025-09-20,8,384,2.08%,12
2025-09-21,4,391,1.02%,11.8
2025-09-22,4,400,1%,11.3
2025-09-23,5,428,1.17%,11.6
2025-09-24,5,386,1.3%,12.8
2025-09-25,3,491,0.61%,10.7
2025-09-26,3,433,0.69%,11.3
2025-09-27,3,349,0.86%,12.2
2025-09-28,5,296,1.69%,13
2025-09-29,7,379,1.85%,11.3
2025-09-30,2,490,0.41%,11.6
2025-10-01,6,341,1.76%,12.7
2025-10-02,9,368,2.45%,12.3
2025-10-03,1,338,0.3%,11.5
2025-10-04,3,313,0.96%,14
2025-10-05,4,362,1.1%,13.1
2025-10-06,3,419,0.72%,13.8
2025-10-07,11,410,2.68%,10.1
2025-10-08,6,342,1.75%,9.9
2025-10-09,3,369,0.81%,10.5
2025-10-10,5,373,1.34%,10.2
2025-10-11,7,344,2.03%,9.7
2025-10-12,8,385,2.08%,10.5
2025-10-13,3,441,0.68%,9.4
2025-10-14,3,428,0.7%,10.1
2025-10-15,4,458,0.87%,10.3
2025-10-16,2,382,0.52%,10.8
2025-10-17,3,328,0.91%,12
2025-10-18,2,288,0.69%,10.6
2025-10-19,5,282,1.77%,10.6
2025-10-20,4,365,1.1%,10.3
2025-10-21,8,395,2.03%,10.3
2025-10-22,7,408,1.72%,10.6
2025-10-23,7,427,1.64%,12.1
2025-10-24,3,363,0.83%,10.4
2025-10-25,4,323,1.24%,9.7
2025-10-26,10,344,2.91%,11
2025-10-27,8,412,1.94%,10
2025-10-28,5,423,1.18%,10.7
2025-10-29,7,395,1.77%,9.9
2025-10-30,4,429,0.93%,10.9
2025-10-31,2,360,0.56%,9.6
2025-11-01,9,344,2.62%,9.4
2025-11-02,4,390,1.03%,11.6
2025-11-03,2,390,0.51%,10.4
2025-11-04,5,355,1.41%,8.6
2025-11-05,2,354,0.56%,8.8
2025-11-06,4,436,0.92%,9.4
2025-11-07,6,380,1.58%,9.9
2025-11-08,4,314,1.27%,10.4
2025-11-09,4,351,1.14%,9.5
2025-11-10,10,411,2.43%,9
2025-11-11,5,442,1.13%,8.7
2025-11-12,5,388,1.29%,8.7
2025-11-13,4,396,1.01%,9.7
2025-11-14,5,383,1.31%,9.9
2025-11-15,3,393,0.76%,11.7
2025-11-16,2,381,0.52%,10.8
2025-11-17,6,442,1.36%,15.7
2025-11-18,3,411,0.73%,15
2025-11-19,6,427,1.41%,13
2025-11-20,8,474,1.69%,13.8
2025-11-21,4,428,0.93%,13
2025-11-22,4,364,1.1%,12.6
2025-11-23,5,381,1.31%,13.6
2025-11-24,8,530,1.51%,19.5
2025-11-25,2,542,0.37%,17.2
2025-11-26,5,391,1.28%,14.1
2025-11-27,5,381,1.31%,17.6
2025-11-28,6,343,1.75%,11.2
2025-11-29,5,413,1.21%,11.8
2025-11-30,5,451,1.11%,12.2
2025-12-01,11,427,2.58%,11.6
2025-12-02,10,445,2.25%,10.8
2025-12-03,6,467,1.28%,10.3
2025-12-04,5,495,1.01%,12.6
2025-12-05,6,479,1.25%,13.7
2025-12-06,3,416,0.72%,14.5
2025-12-07,6,369,1.63%,14.7
2025-12-08,6,455,1.32%,13.4
2025-12-09,7,481,1.46%,14.4
2025-12-10,9,492,1.83%,10.2
2025-12-11,5,516,0.97%,11.6
2025-12-12,5,468,1.07%,11.1
2025-12-13,3,432,0.69%,14.4
2025-12-14,2,425,0.47%,12.6
2025-12-15,1,408,0.25%,12.1
2025-12-16,3,503,0.6%,12.5
2025-12-17,2,483,0.41%,10.6
2025-12-18,6,445,1.35%,10.6
2025-12-19,7,389,1.8%,13
2025-12-20,12,400,3%,12.7
2025-12-21,5,361,1.39%,14
2025-12-22,4,414,0.97%,13.3
2025-12-23,4,420,0.95%,15.4
2025-12-24,2,394,0.51%,18.7
2025-12-25,1,353,0.28%,15.6
2025-12-26,4,394,1.02%,14.9
2025-12-27,5,358,1.4%,14.4
2025-12-28,4,421,0.95%,18.7
2025-12-29,5,454,1.1%,18.7
2025-12-30,5,419,1.19%,14.5
2025-12-31,1,418,0.24%,15.5
2026-01-01,3,387,0.78%,13.7
2026-01-02,3,361,0.83%,11.8
2026-01-03,5,428,1.17%,12.4
2026-01-04,3,435,0.69%,12.5
2026-01-05,6,437,1.37%,13
2026-01-06,5,400,1.25%,10.6
2026-01-07,3,513,0.58%,11.7
2026-01-08,4,509,0.79%,13.6
2026-01-09,4,506,0.79%,13.4
2026-01-10,4,459,0.87%,13.4
2026-01-11,7,424,1.65%,13.8
2026-01-12,6,546,1.1%,11.5
2026-01-13,4,504,0.79%,13.7
2026-01-14,10,604,1.66%,12.5
2026-01-15,7,478,1.46%,11.7
2026-01-16,6,544,1.1%,11.3
2026-01-17,4,416,0.96%,12.9
2026-01-18,3,526,0.57%,13.3
2026-01-19,6,568,1.06%,16.1
2026-01-20,4,656,0.61%,16.4
2026-01-21,4,595,0.67%,14.1
2026-01-22,6,625,0.96%,15.4
2026-01-23,7,562,1.25%,13.3
2026-01-24,4,617,0.65%,13.5
2026-01-25,2,562,0.36%,13.1
2026-01-26,6,617,0.97%,12.9
2026-01-27,6,636,0.94%,12.7
2026-01-28,5,616,0.81%,13.3
2026-01-29,1,626,0.16%,11.7
2026-01-30,8,614,1.3%,12.2
2026-01-31,6,592,1.01%,18.4
2026-02-01,2,554,0.36%,13
2026-02-02,1,585,0.17%,11.1
2026-02-03,3,571,0.53%,10.1
2026-02-04,4,602,0.66%,10.3
2026-02-05,5,647,0.77%,10.8
2026-02-06,4,594,0.67%,11.5
2026-02-07,1,501,0.2%,11.4
2026-02-08,4,514,0.78%,10.3
2026-02-09,6,535,1.12%,9.8
2026-02-10,2,177,1.13%,9.6
